Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;47862690;12.4;47.15023795;16.13421178;06/07/18;291;Woodland;Other coniferous woodland;Forestry
0-20 cm;47882704;16.7;47.27427248;16.17535859;06/07/18;373;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;47982688;47.5;47.1232602;16.28969291;02/06/18;246;Woodland;Other mixed woodland;Forestry
0-20 cm;48022702;28.1;47.24569335;16.35750603;06/07/18;305;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;48062708;19.4;47.29637182;16.41678159;05/07/18;335;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;48122730;18;47.48881664;16.52059488;18/06/18;232;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48202738;12.5;47.5541021;16.63555874;18/06/18;283;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48222780;22.9;47.92869563;16.71115772;21/05/18;136;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48342774;29.1;47.86505893;16.8638522;26/06/18;115;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48442784;14.4;47.94615773;17.00926007;11/06/18;166;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48462776;21.8;47.87283272;17.02603165;14/05/18;140;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;48482762;30;47.74578723;17.03536819;03/07/18;118;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46562790;15.2;48.13164949;14.50151431;07/06/18;355;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46662780;37.3;48.03630958;14.62738906;18/05/18;341;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46662794;41.2;48.16199724;14.63886538;05/06/18;269;Woodland;Broadleaved woodland;Forestry
0-20 cm;46722786;16.9;48.0867641;14.71266799;05/06/18;352;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46722792;21;48.14062552;14.71767565;05/06/18;308;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46782766;169.8;47.90375685;14.77615139;18/05/18;606;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;46782778;31.7;48.01148064;14.78625884;18/07/18;464;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46842852;38.3;48.67205479;14.93110419;29/06/18;629;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46862842;30.6;48.5811226;14.94929368;09/06/18;709;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46942756;79.9;47.80449646;14.98089168;08/05/18;688;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;46942842;20.9;48.57624316;15.05747115;28/07/18;715;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46942846;72.3;48.61213016;15.06110589;01/08/18;623;Woodland;Other coniferous woodland;Forestry
0-20 cm;46942878;45.3;48.89920109;15.09042334;24/07/18;564;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46982766;33.9;47.89181128;15.04300695;24/05/18;647;Woodland;Broadleaved woodland;Forestry
0-20 cm;47002806;55.2;48.24952676;15.10565784;27/06/18;695;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;47002816;114.6;48.33925149;15.11475237;27/06/18;955;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;47022848;21;48.62508246;15.17119945;28/07/18;602;Bareland;Other bare soil;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47022884;36.2;48.94799358;15.20494258;01/08/18;630;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;47042780;36.2;48.01373378;15.13568848;16/05/18;424;Shrubland;Shrubland without tree cover;Forestry
0-20 cm;47042788;81.8;48.0855196;15.14295123;14/06/18;277;Woodland;Other mixed woodland;Forestry
0-20 cm;47042874;12.7;48.85703064;15.22270532;23/07/18;516;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47082754;162.9;47.77790891;15.16550245;24/07/18;1123;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;47082776;33.3;47.97532887;15.18551031;01/06/18;386;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;47082858;12.9;48.71096538;15.26185432;01/08/18;591;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47102754;205.1;47.77664936;15.19212015;24/07/18;1074;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;47122762;13.5;47.84717109;15.22606358;24/07/18;552;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;47122882;12.1;48.92362338;15.33919359;01/08/18;466;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47182762;112.6;47.8433281;15.30601701;04/07/18;968;Woodland;Other coniferous woodland;Forestry
0-20 cm;47182802;23.2;48.20218867;15.34360954;10/07/18;324;Woodland;Other mixed woodland;Forestry
0-20 cm;47182862;18;48.74033774;15.40128492;01/08/18;569;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47202790;22;48.09323732;15.35904016;16/05/18;313;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;47202848;43.6;48.61346751;15.41474181;28/05/18;537;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
